Aspect,Variant,Train Acc,Test Acc,Train F1,Test F1,hidden_dims
Width,64,0.999766662777713,0.9786978697869787,0.9997632682668847,0.9786150860325135,[64]
Width,128,0.9999499991666527,0.981998199819982,0.999949226682151,0.9819133706107397,[128]
Width,256,0.9996999949999167,0.97999799979998,0.9996981470483085,0.9798077948595095,[256]
